Comment,Designator,Footprint,JLCPCB Part #
0.1u,"C001,C201,C202,C203,C204,C205",Capacitor_SMD:C_0402_1005Metric,C71629
2.2u,C101,Capacitor_SMD:C_0402_1005Metric,C237392
47u,C102,Capacitor_SMD:C_1210_3225Metric,C84494
4.7u,"C301,C302,C303,C314",Capacitor_SMD:C_0402_1005Metric,"C71633,C77004"
100n,"C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C315,C318,C319",Capacitor_SMD:C_0402_1005Metric,C71629
15p,"C316,C317",Capacitor_SMD:C_0402_1005Metric,C76950
LED,"D002,D003",LED_SMD:LED_0805_2012Metric,C7496841
LED,D001,LED_SMD:LED_0805_2012Metric,C84260
LED,D103,LED_SMD:LED_0805_2012Metric,C84262
ESD5Z5V0,D101,Diode_SMD:D_SOD-523,C248788
PRTR5V0U2X,D102,Package_TO_SOT_SMD:SOT-143,C12333
ESD5Z3V3,"D301,D302,D303,D304,D305",Diode_SMD:D_SOD-523,C502545
Conn_01x18_Pin,J001,Connector_FFC-FPC:Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal,C506792
Conn_01x20_Pin,"J201,J202",Connector_FFC-FPC:Hirose_FH12-20S-0.5SH_1x20-1MP_P0.50mm_Horizontal,C596730
Micro_SD_Card,J301,Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5,C114218
1u,L101,Inductor_SMD:L_Sunlord_SWPA4030S,C42193
3.3u,L301,Inductor_SMD:L_Sunlord_SWPA3015S,C48020
USB_C_Plug_USB2.0,P101,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
BSS138,"Q001,Q002,Q003,Q201",Package_TO_SOT_SMD:SOT-23,C24553
BSS83P,Q101,Package_TO_SOT_SMD:SOT-23,C2932927
100k,"R001,R003,R005,R102,R103,R204,R309,R310",Resistor_SMD:R_0402_1005Metric,C481918
22,R002,Resistor_SMD:R_0805_2012Metric,C17561
42.2,"R004,R006",Resistor_SMD:R_0805_2012Metric,C410018
453k,R101,Resistor_SMD:R_0402_1005Metric,C843903
188,R104,Resistor_SMD:R_0805_2012Metric,C104054
10k,"R201,R202,R203,R305,R306,R311",Resistor_SMD:R_0402_1005Metric,C71617
27,"R301,R302",Resistor_SMD:R_0402_1005Metric,C138021
1k,"R303,R304",Resistor_SMD:R_0402_1005Metric,C163485
100K,"R307,R308",Resistor_SMD:R_0402_1005Metric,C481918
33,R312,Resistor_SMD:R_0402_1005Metric,C25105
SW_DIP_x01,"SW301,SW302,SW304,SW305",Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,C2884835
TS5A3159ADCK,"U001,U206",Package_TO_SOT_SMD:SOT-363_SC-70-6,C475493
TPS62A02ADRL,U101,Package_TO_SOT_SMD:SOT-563,C5820994
TMUXHS4412,U201,Package_DFN_QFN:WQFN-42-1EP_3.5x9mm_P0.5mm_EP2.05x7.55mm_ThermalVias,C3657223
TPD4E02B04DQA,"U202,U203,U204,U205,U304",Package_SON:USON-10_2.5x1.0mm_P0.5mm,C106794
RP2350,U301,Package_DFN_QFN:QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,C42411118
W25Q128JVP,U302,Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C190862
TXS0102DCT,U303,Package_SO:SSOP-8_2.95x2.8mm_P0.65mm,C324082
ABM8-22272-T3,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
